smiles,DHODH
OC(=O)C1=C(CCC1)C(=O)Nc2ccc(cc2)c3ccccc3,6.39
COc1cccc(c1)c2ncc(Nc3ccc(cc3C(=O)O)C4CC4)cc2C(F)(F)F,8.15
CCOC(=O)c1sc(Nc2ccc(C)c(C)c2)nc1C3CC3,6.49
CCOc1cccc(c1)c2cc(F)c(NC(=O)c3cocc3C(=O)O)c(F)c2,7.8
CN(\N=C\c1ccccc1C(=O)O)c2nc(cs2)c3ccccc3Cl,8.1
OC(=O)c1cccc2[nH]c(nc12)c3c(F)c(F)c(c(F)c3F)c4ccc(OCc5ccccc5)cc4,6.42
Cc1nccc(c1Cl)c2ccc(cc2)c3nc4ccncc4c(O)c3C#N,5.89
C\C(=C(/C#N)\C(=O)Nc1ccc(cc1)c2ccccc2Cl)\O,6.89
CN(\N=C\c1ccccc1C(=O)O)c2nc(cs2)c3cc(Cl)ccc3Cl,7.55
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2cccc(Cl)c2)c(c1)C(=O)OC)\O,7.51
CCOC(=O)c1sc(Nc2ccc(C)c(F)c2)nc1C,5.7
CCOC(=O)c1sc(Nc2cc(Cl)cc(Cl)c2)nc1c3ccccc3,6.41
COc1ccc(Nc2ccccc2C(=O)O)cc1,5
OC(=O)c1cc(ccc1Nc2cnc(nc2)c3cc(F)ccc3F)C4CC4,7.42
OC(=O)c1cc(ccc1Nc2cnc(nc2)c3ccccc3C4CC4)C5CC5,7.24
CC\C(=C(/C#N)\C(=O)Nc1ccc(c(c1)C(=O)OC)c2ccc(F)cc2C)\O,7.31
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3c(F)c(F)c(c(F)c3F)c4ccc(CN5CCCCC5)cc4,7.11
Cc1c(C(=O)O)c2cc(F)ccc2nc1c3ccc(cc3)c4ccccc4F,7.4
CCOc1cccc(c1)c2ccc(Nc3ncccc3C(=O)O)c(F)c2,6.7
OC(=O)C1=C(COC1)C(=O)Nc2c(F)c(F)c(c(F)c2F)c3cccc(OC(F)(F)F)c3,7.24
Cn1c(nc2cccc(C(=O)O)c12)c3ccc(cc3)c4ccccc4,5.8
C\C(=C(/C#N)\C(=O)Nc1ccc(cc1C(F)(F)F)c2cccc(Cl)c2)\O,4.06
CCOC(=O)c1sc(Nc2ccccc2)nc1c3ccccc3,6.11
Cc1c(O)c2cc(ccc2nc1C(=O)Nc3c(F)cc(cc3F)c4cccc(F)c4)C(F)(F)F,5.21
N1c2ccccc2Oc3nc4ccccc4nc13,4.74
OC(=O)c1cccc2[nH]c(nc12)c3c(F)c(F)c(c(F)c3F)c4ccc(F)c(F)c4,5.91
Cc1n[nH]c(Nc2ccc(cc2)C(F)(F)F)c1C,4.65
CN(\N=C\c1ccccc1C(=O)O)c2nc(cs2)c3cccc(Cl)c3,7.96
CCOC(=O)c1sc(Nc2ccc(C)c(C)c2)nc1C(C)(C)C,6.29
OC(=O)C1=C(CCC1)C(=O)Nc2cc(Br)c(OCc3ccccc3)c(Br)c2,6.9
Cc1cc(F)c2ncn(c3ccc(s3)C(=O)NC4CC4)c2c1,5.51
COc1cccc(c1)c2c(F)c(F)c(Nc3ncccc3C(=O)O)c(F)c2F,8.52
CONC(=O)c1cc(C)cc2nc([nH]c12)c3c(F)c(F)c(c(F)c3F)c4ccccc4,5.66
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3ccc(cc3)c4ccc(Oc5ccccc5C=O)cc4,5.98
CC(C)c1cc(c(C)cc1Oc2ccccc2)c3cc(C(=O)O)c4cc(F)ccc4n3,9
Cc1cc(C#N)c2nc([nH]c2c1)c3c(F)c(F)c(c(F)c3F)c4ccccc4,5.78
COc1cccc(c1)c2cc(F)c(Nc3ncccc3C(=O)O)c(F)c2,7.82
